gene	pwy	trn	transport	enzyme	BP_GO	Y-ome
EG11580	0	1	0	0	1	1
EG11489	0	1	0	0	1	0
G7752	0	1	0	0	0	0
EG11975	0	1	0	0	1	0
G7606	0	0	0	0	0	1
G378	0	1	0	0	1	0
G7505	0	0	0	0	0	1
EG11654	0	1	0	0	1	0
G7440	0	1	0	0	1	1
G365	0	1	0	0	1	0
G7256	0	0	0	0	0	1
EG11388	0	1	0	0	1	1
G7131	0	0	0	0	0	1
G362	0	1	0	0	1	0
G6982	0	1	0	0	0	1
EG10324	0	1	0	0	1	0
G6899	0	1	0	0	0	1
G359	0	1	0	0	1	0
G6757	0	1	0	0	0	1
EG10320	0	1	0	0	1	0
G6625	0	1	0	0	0	1
G379	0	1	0	0	1	1
G6459	0	0	0	0	1	1
EG11656	0	1	0	0	1	0
G6214	0	0	0	0	0	0
G366	0	1	0	0	1	1
G6087	0	0	0	0	1	1
EG11389	0	1	0	0	1	1
G363	0	1	0	0	1	0
EG11209	0	1	0	0	1	1
EG10841	0	1	0	0	1	0
G360	0	1	0	0	1	1
EG10321	0	1	0	0	0	0
G357	0	1	0	0	1	1
G0-10646	0	0	0	0	0	1
G6562	0	1	0	0	1	1
G0-10585	0	0	0	0	0	1
EG11967	0	0	0	0	1	0
EG12861	0	1	0	0	0	1
G370	0	1	0	0	1	0
EG12303	0	0	0	0	1	1
EG11545	0	0	0	0	1	0
EG12120	0	0	0	0	1	1
G364	0	1	0	0	1	0
EG12035	0	1	0	0	1	1
EG11224	0	1	0	0	1	0
EG11786	0	1	0	0	1	1
G361	0	1	0	0	1	0
G7922	0	1	0	0	0	1
EG10323	0	1	0	0	1	0
EG11521	0	1	0	0	1	1
G358	0	1	0	0	1	0
G7722	0	1	0	0	0	1
EG10319	0	1	0	0	1	0
G7580	0	1	0	0	0	1
EG10315	0	1	0	0	1	0
G7489	0	1	0	0	1	1
EG11976	0	1	0	0	1	0
G7420	0	0	0	0	1	1
G6547	0	1	0	0	1	0
G7217	0	1	0	0	1	1
EG10168	1	0	0	1	1	0
G7089	0	1	0	0	0	1
G6250	0	0	0	0	0	1
G6961	0	0	0	0	0	1
G6551	1	0	0	1	1	0
G6887	0	0	0	0	0	1
EG10704	1	0	0	1	1	0
G6741	0	1	0	0	0	1
EG12591	0	0	0	1	1	0
G6611	0	0	0	0	0	1
EG11608	1	0	0	1	1	0
G6448	0	0	0	0	0	1
EG10775	1	1	0	1	1	0
G6185	0	0	0	0	1	1
EG10705	1	0	0	1	1	0
G0-9081	0	0	0	0	0	1
G0-9662	0	0	0	0	0	1
EG11674	0	0	0	0	1	1
EG11152	0	1	0	0	0	1
EG11437	0	0	0	0	1	1
EG10781	1	0	0	1	1	0
EG10706	1	0	0	1	1	0
G6406	1	0	0	1	1	0
G0-10641	0	1	0	0	0	1
EG12128	1	0	0	1	1	0
G0-10513	0	1	0	0	0	1
EG11371	1	1	0	1	1	0
EG12692	0	0	0	0	0	0
EG10740	1	0	0	1	1	0
EG12277	0	0	0	0	1	1
EG11679	0	0	0	0	1	0
EG12023	0	0	0	0	0	1
EG10274	1	1	0	1	1	0
EG11765	0	0	0	0	0	1
